Volts (V),Current (A)
-34.800000000000004,1.5666e-07
-34.6,1.5922e-07
-34.4,1.5268e-07
-34.2,1.4978e-07
-34.0,1.5824e-07
-33.8,1.4354e-07
-33.6,1.5166e-07
-33.4,1.7352e-07
-33.2,1.6816e-07
-33.0,1.6889999999999998e-07
-32.8,1.5876e-07
-32.6,1.5594e-07
-32.4,1.603e-07
-32.2,1.5682e-07
-32.0,1.6588e-07
-31.8,1.5942e-07
-31.6,1.6539999999999999e-07
-31.400000000000002,1.5652e-07
-31.2,1.5964e-07
-31.0,1.4632e-07
-30.8,1.4548e-07
-30.6,1.4672e-07
-30.400000000000002,1.4752e-07
-30.2,1.4654e-07
-30.0,1.4974e-07
-29.8,1.5348e-07
-29.6,1.461e-07
-29.400000000000002,1.4764e-07
-29.2,1.5132e-07
-29.0,1.545e-07
-28.8,1.4718e-07
-28.6,1.4882e-07
-28.400000000000002,1.498e-07
-28.2,1.4902e-07
-28.0,1.5118e-07
-27.8,1.4806e-07
-27.6,1.5042e-07
-27.400000000000002,1.479e-07
-27.2,1.4674e-07
-27.0,1.4896e-07
-26.8,1.5206e-07
-26.6,1.5068e-07
-26.400000000000002,1.6511999999999999e-07
-26.2,1.4476e-07
-26.0,1.4508e-07
-25.8,1.4656e-07
-25.6,1.4642e-07
-25.400000000000002,1.474e-07
-25.2,1.434e-07
-25.0,1.421e-07
-24.8,1.435e-07
-24.6,1.471e-07
-24.400000000000002,1.4852e-07
-24.2,1.449e-07
-24.0,1.4807999999999999e-07
-23.8,1.5353999999999998e-07
-23.6,1.5813999999999999e-07
-23.400000000000002,1.6724e-07
-23.2,1.5956e-07
-23.0,1.6256e-07
-22.8,1.5482e-07
-22.6,1.5034e-07
-22.400000000000002,1.4416e-07
-22.2,1.5114e-07
-22.0,1.524e-07
-21.8,1.56e-07
-21.6,1.5672e-07
-21.400000000000002,1.5226e-07
-21.2,1.51e-07
-21.0,1.5252e-07
-20.8,1.4456e-07
-20.6,1.4468e-07
-20.400000000000002,1.4338e-07
-20.2,1.4918e-07
-20.0,1.6018e-07
-19.8,1.5978e-07
-19.6,1.6464e-07
-19.400000000000002,1.641e-07
-19.2,1.6252e-07
-19.0,1.5864e-07
-18.8,1.6598e-07
-18.6,1.6228e-07
-18.400000000000002,1.5756e-07
-18.2,1.5771999999999999e-07
-18.0,1.6524e-07
-17.8,1.606e-07
-17.6,1.5848e-07
-17.400000000000002,1.5852e-07
-17.2,1.5659999999999999e-07
-17.0,1.5292e-07
-16.8,1.6266e-07
-16.6,1.5446e-07
-16.4,1.5516e-07
-16.2,1.4296e-07
-16.0,1.4408e-07
-15.8,1.5216e-07
-15.6,1.5096e-07
-15.4,1.5684e-07
-15.200000000000001,1.4986e-07
-15.0,1.4571999999999998e-07
-14.8,1.4736e-07
-14.6,1.5462e-07
-14.4,1.5736e-07
-14.200000000000001,1.4408e-07
-14.0,1.5616e-07
-13.8,1.5799999999999999e-07
-13.6,1.5967999999999998e-07
-13.4,1.572e-07
-13.200000000000001,1.5353999999999998e-07
-13.0,1.5634e-07
-12.8,1.5156e-07
-12.6,1.532e-07
-12.4,1.5634e-07
-12.200000000000001,1.5586e-07
-12.0,1.5274e-07
-11.8,1.5276e-07
-11.6,1.5367999999999998e-07
-11.4,1.5322e-07
-11.200000000000001,1.5206e-07
-11.0,1.5381999999999998e-07
-10.8,1.4732e-07
-10.6,1.5334e-07
-10.4,1.537e-07
-10.200000000000001,1.4146e-07
-10.0,1.4702e-07
-9.8,1.4186e-07
-9.6,1.5052e-07
-9.4,1.4078e-07
-9.200000000000001,1.3628e-07
-9.0,1.3526e-07
-8.8,1.4528e-07
-8.6,1.3626e-07
-8.4,1.408e-07
-8.2,1.4252e-07
-8.0,1.5496e-07
-7.8,1.378e-07
-7.6000000000000005,1.4566e-07
-7.4,1.4116e-07
-7.2,1.4848e-07
-7.0,1.4342e-07
-6.8,1.5052e-07
-6.6000000000000005,1.4394e-07
-6.4,1.4476e-07
-6.2,1.428e-07
-6.0,1.35e-07
-5.8,1.4277999999999999e-07
-5.6000000000000005,1.468e-07
-5.4,1.4821999999999999e-07
-5.2,1.348e-07
-5.0,1.4098e-07
-4.8,1.4174e-07
-4.6000000000000005,1.4406e-07
-4.4,1.435e-07
-4.2,1.4702e-07
-4.0,1.387e-07
-3.8000000000000003,1.4042e-07
-3.6,1.4708e-07
-3.4,1.4708e-07
-3.2,1.4956e-07
-3.0,1.4444e-07
-2.8000000000000003,1.4606e-07
-2.6,1.4486e-07
-2.4,1.468e-07
-2.2,1.4842e-07
-2.0,1.4812e-07
-1.8,1.4444e-07
-1.6,1.4276e-07
-1.4000000000000001,1.3698e-07
-1.2,1.324e-07
-1.0,1.3406e-07
-0.8,1.3436e-07
-0.6,1.3046e-07
-0.4,1.4048e-07
-0.2,1.4566e-07
0.0,1.3604e-07
0.2,1.26e-07
0.4,1.2726e-07
0.6,1.3986e-07
0.8,1.4206e-07
1.0,1.28e-07
1.2,1.4053999999999999e-07
1.4000000000000001,1.3285999999999999e-07
1.6,1.255e-07
1.8,1.294e-07
2.0,1.4235999999999999e-07
2.2,1.3644e-07
2.4,1.3684e-07
2.6,1.3434e-07
2.8000000000000003,1.2974e-07
3.0,1.3422e-07
3.2,1.3472e-07
3.4,1.3663999999999998e-07
3.6,1.3924e-07
3.8000000000000003,1.2958e-07
4.0,1.4e-07
4.2,1.2654e-07
4.4,1.3481999999999999e-07
4.6000000000000005,1.258e-07
4.8,1.2792e-07
5.0,1.309e-07
5.2,1.3146e-07
5.4,1.4024e-07
5.6000000000000005,1.2968e-07
5.8,1.3146e-07
6.0,1.3906e-07
6.2,1.3458e-07
6.4,1.3458e-07
6.6000000000000005,1.3866e-07
6.8,1.354e-07
7.0,1.394e-07
7.2,1.3244e-07
7.4,1.3238e-07
7.6000000000000005,1.3726e-07
7.8,1.3916e-07
8.0,1.3038e-07
8.2,1.2864e-07
8.4,1.4554e-07
8.6,1.3194e-07
8.8,1.314e-07
9.0,1.3212e-07
9.200000000000001,1.2984e-07
9.4,1.3278e-07
9.6,1.3586e-07
9.8,1.3282e-07
10.0,1.293e-07
10.200000000000001,1.2671999999999999e-07
10.4,1.2741999999999999e-07
10.6,1.3192e-07
10.8,1.3754e-07
11.0,1.3372e-07
11.200000000000001,1.3472e-07
11.4,1.3232e-07
11.6,1.314e-07
11.8,1.3658e-07
12.0,1.3938e-07
12.200000000000001,1.4434e-07
12.4,1.3698e-07
12.6,1.3106e-07
12.8,1.388e-07
13.0,1.3788e-07
13.200000000000001,1.3886e-07
13.4,1.4e-07
13.6,1.4106e-07
13.8,1.3674e-07
14.0,1.4092e-07
14.200000000000001,1.387e-07
14.4,1.4046e-07
14.6,1.408e-07
14.8,1.3166e-07
15.0,1.3512e-07
15.200000000000001,1.3397999999999999e-07
15.4,1.4384e-07
15.6,1.4406e-07
15.8,1.414e-07
16.0,1.438e-07
16.2,1.4368e-07
16.4,1.4062e-07
16.6,1.3394e-07
16.8,1.3394e-07
17.0,1.3476e-07
17.2,1.3284e-07
17.400000000000002,1.357e-07
17.6,1.3728e-07
17.8,1.3708e-07
18.0,1.4905999999999999e-07
18.2,1.4312e-07
18.400000000000002,1.3158e-07
18.6,1.3536e-07
18.8,1.4326e-07
19.0,1.2946e-07
19.2,1.4024e-07
19.400000000000002,1.361e-07
19.6,1.3714e-07
19.8,1.2864e-07
20.0,1.4316e-07
20.2,1.3628e-07
20.400000000000002,1.369e-07
20.6,1.4074e-07
20.8,1.3554e-07
21.0,1.3304e-07
21.2,1.414e-07
21.400000000000002,1.3322e-07
21.6,1.4072e-07
21.8,1.322e-07
22.0,1.3453999999999999e-07
22.2,1.3666e-07
22.400000000000002,1.43e-07
22.6,1.4214e-07
22.8,1.426e-07
23.0,1.3994e-07
23.2,1.3916e-07
23.400000000000002,1.3446e-07
23.6,1.4358e-07
23.8,1.4298e-07
24.0,1.4144e-07
24.2,1.4156e-07
24.400000000000002,1.3705999999999998e-07
24.6,1.349e-07
24.8,1.4039999999999999e-07
25.0,1.3764e-07
25.2,1.3495999999999999e-07
25.400000000000002,1.3442e-07
25.6,1.3476e-07
25.8,1.3208e-07
26.0,1.4608e-07
26.2,1.4296e-07
26.400000000000002,1.4734e-07
26.6,1.334e-07
26.8,1.4628e-07
27.0,1.4375999999999998e-07
27.2,1.4886e-07
27.400000000000002,1.4248e-07
27.6,1.4328e-07
27.8,1.4834e-07
28.0,1.389e-07
28.2,1.393e-07
28.400000000000002,1.4596e-07
28.6,1.434e-07
28.8,1.4388e-07
29.0,1.4347999999999999e-07
29.2,1.4358e-07
29.400000000000002,1.521e-07
29.6,1.5544e-07
29.8,1.4144e-07
30.0,1.449e-07
30.2,1.4596e-07
30.400000000000002,1.369e-07
30.6,1.4944e-07
30.8,1.4274e-07
31.0,1.4912e-07
31.2,1.4972e-07
31.400000000000002,1.4354e-07
31.6,1.4818e-07
31.8,1.5202e-07
32.0,1.4302e-07
32.2,1.5e-07
32.4,1.5358e-07
32.6,1.4534e-07
32.8,1.4926e-07
33.0,1.4849999999999999e-07
33.2,1.4666e-07
33.4,1.4459999999999998e-07
33.6,1.5104e-07
33.8,1.5376e-07
34.0,1.4442e-07
34.2,1.5322e-07
34.4,1.475e-07
34.6,1.5586e-07
34.800000000000004,1.532e-07
35.0,1.4728e-07
35.2,1.4728e-07
35.4,1.4876e-07
35.6,1.4842e-07
35.800000000000004,1.4926e-07
36.0,1.5198e-07
36.2,1.444e-07
36.4,1.533e-07
36.6,1.4838e-07
36.800000000000004,1.4308e-07
37.0,1.652e-07
37.2,1.477e-07
37.4,1.548e-07
37.6,1.528e-07
37.800000000000004,1.5628e-07
38.0,1.5798e-07
38.2,1.562e-07
38.4,1.6326e-07
38.6,1.5566e-07
38.800000000000004,1.451e-07
39.0,1.447e-07
39.2,1.4961999999999999e-07
39.4,1.5328e-07
39.6,1.4744e-07
39.800000000000004,1.4842e-07
40.0,1.4718e-07
40.2,1.471e-07
40.4,1.5022e-07
40.6,1.4468e-07
40.800000000000004,1.4444e-07
41.0,1.4277999999999999e-07
41.2,1.4776e-07
41.4,1.3164e-07
41.6,1.4006e-07
41.800000000000004,1.4786e-07
42.0,1.4086e-07
42.2,1.4468e-07
42.4,1.4176e-07
42.6,1.3424e-07
42.800000000000004,1.335e-07
43.0,1.551e-07
43.2,1.471e-07
43.4,1.5972e-07
43.6,1.5192e-07
43.800000000000004,1.4924e-07
44.0,1.5324e-07
44.2,1.4314e-07
44.4,1.4834e-07
44.6,1.49e-07
44.800000000000004,1.5456e-07
45.0,1.5028e-07
45.2,1.4952e-07
45.4,1.535e-07
45.6,1.4754e-07
45.800000000000004,1.4316e-07
46.0,1.5374e-07
46.2,1.5042e-07
46.4,1.5432e-07
46.6,1.4674e-07
46.800000000000004,1.4954e-07
47.0,1.4636e-07
47.2,1.4856e-07
47.4,1.4712e-07
47.6,1.4656e-07
47.800000000000004,1.4692e-07
48.0,1.5008e-07
48.2,1.3324e-07
48.4,1.5096e-07
48.6,1.5212e-07
48.800000000000004,1.4928e-07
49.0,1.3874e-07
49.2,1.4578e-07
49.4,1.3396e-07
49.6,1.4095999999999999e-07
49.800000000000004,1.4364e-07
50.0,1.4326e-07
50.2,1.3994e-07
50.4,1.4046e-07
50.6,1.3772e-07
50.800000000000004,1.3542e-07
51.0,1.4053999999999999e-07
51.2,1.3906e-07
51.4,1.3874e-07
51.6,1.3416e-07
51.800000000000004,1.3562e-07
52.0,1.3522e-07
52.2,1.35e-07
52.4,1.3174e-07
52.6,1.3996e-07
52.800000000000004,1.3376e-07
53.0,1.3792e-07
53.2,1.3316e-07
53.4,1.332e-07
53.6,1.3747999999999998e-07
53.800000000000004,1.3082e-07
54.0,1.4426e-07
54.2,1.3662e-07
54.4,1.34e-07
54.6,1.3397999999999999e-07
54.800000000000004,1.3304e-07
55.0,1.3593999999999999e-07
55.2,1.307e-07
55.4,1.3862e-07
55.6,1.3306e-07
55.800000000000004,1.4326e-07
56.0,1.3744e-07
56.2,1.3506e-07
56.4,1.4002e-07
56.6,1.3556e-07
56.800000000000004,1.4039999999999999e-07
57.0,1.3836e-07
57.2,1.353e-07
57.4,1.3144e-07
57.6,1.362e-07
57.800000000000004,1.368e-07
58.0,1.423e-07
58.2,1.3565999999999999e-07
58.4,1.434e-07
58.6,1.4347999999999999e-07
58.800000000000004,1.4918e-07
59.0,1.3758e-07
59.2,1.43e-07
59.4,1.4137999999999999e-07
59.6,1.4518e-07
59.800000000000004,1.4364e-07
60.0,1.3464e-07
60.2,1.4254e-07
60.4,1.363e-07
60.6,1.3662e-07
60.800000000000004,1.4108e-07
61.0,1.3546e-07
61.2,1.3682e-07
61.4,1.4095999999999999e-07
61.6,1.369e-07
61.800000000000004,1.4008e-07
62.0,1.3718e-07
62.2,1.3888e-07
62.4,1.4156e-07
62.6,1.4294e-07
62.800000000000004,1.4277999999999999e-07
63.0,1.1992e-07
63.2,1.219e-07
63.4,1.3712e-07
63.6,1.3506e-07
63.800000000000004,1.4462e-07
64.0,1.394e-07
64.2,1.397e-07
64.4,1.3551999999999999e-07
64.6,1.3718e-07
64.8,1.4104e-07
65.0,1.3904e-07
65.2,1.3704e-07
65.4,1.392e-07
65.6,1.3718e-07
65.8,1.35e-07
66.0,1.3634e-07
66.2,1.37e-07
66.4,1.3908e-07
66.6,1.4504e-07
66.8,1.4174e-07
67.0,1.3872e-07
67.2,1.4248e-07
67.4,1.3968e-07
67.6,1.3626e-07
67.8,1.3736e-07
68.0,1.4332e-07
68.2,1.4102e-07
68.4,1.4132e-07
68.60000000000001,1.398e-07
68.8,1.4512e-07
69.0,1.4462e-07
69.2,1.3124e-07
69.4,1.384e-07
69.60000000000001,1.3824e-07
69.8,1.3938e-07
70.0,1.4336e-07
70.2,1.5206e-07
70.4,1.5958e-07
70.60000000000001,1.597e-07
70.8,1.5166e-07
71.0,1.5808e-07
71.2,1.5118e-07
71.4,1.5832e-07
71.60000000000001,1.5631999999999999e-07
71.8,1.5262e-07
72.0,1.5262e-07
72.2,1.5148e-07
72.4,1.5148e-07
72.60000000000001,1.5058e-07
72.8,1.4254e-07
73.0,1.5146e-07
73.2,1.515e-07
73.4,1.4974e-07
73.60000000000001,1.4006e-07
73.8,1.5946e-07
74.0,1.4877999999999999e-07
74.2,1.4356e-07
74.4,1.4752e-07
74.60000000000001,1.487e-07
74.8,1.5059999999999999e-07
75.0,1.5272e-07
75.2,1.5286e-07
75.4,1.476e-07
75.60000000000001,1.4678e-07
75.8,1.493e-07
76.0,1.5436e-07
76.2,1.5294e-07
76.4,1.423e-07
76.60000000000001,1.5436e-07
76.8,1.4826e-07
77.0,1.489e-07
77.2,1.487e-07
77.4,1.4324e-07
77.60000000000001,1.5502e-07
77.8,1.5028e-07
78.0,1.5064e-07
78.2,1.488e-07
78.4,1.3872e-07
78.60000000000001,1.4232e-07
78.8,1.3962e-07
79.0,1.43e-07
79.2,1.4454e-07
79.4,1.4692e-07
79.60000000000001,1.3996e-07
79.8,1.458e-07
80.0,1.45e-07
