Volts (V),Current (A)
-0.022500000000000003,-2.9261399999999998e-08
-0.022000000000000002,-2.8185599999999997e-08
-0.021500000000000002,-2.7906199999999996e-08
-0.021,-2.7375e-08
-0.0205,-2.64172e-08
-0.02,-2.5331999999999998e-08
-0.0195,-2.5187799999999996e-08
-0.019,-2.4356199999999997e-08
-0.018500000000000003,-2.3611e-08
-0.018000000000000002,-2.2634999999999997e-08
-0.0175,-2.2282599999999997e-08
-0.017,-2.1543399999999998e-08
-0.0165,-2.1071799999999997e-08
-0.016,-2.0149199999999998e-08
-0.0155,-1.93622e-08
-0.015000000000000001,-1.8713799999999997e-08
-0.0145,-1.80552e-08
-0.014,-1.74466e-08
-0.0135,-1.69834e-08
-0.013000000000000001,-1.6499799999999998e-08
-0.0125,-1.5585199999999998e-08
-0.012,-1.5442999999999998e-08
-0.0115,-1.43224e-08
-0.011000000000000001,-1.3554799999999999e-08
-0.0105,-1.3075799999999998e-08
-0.01,-1.2531799999999998e-08
-0.0095,-1.2037599999999998e-08
-0.009000000000000001,-1.1496599999999999e-08
-0.0085,-1.0838999999999999e-08
-0.008,-1.0241399999999999e-08
-0.007500000000000001,-9.1566e-09
-0.007,-8.9508e-09
-0.006500000000000001,-8.3724e-09
-0.006,-8.8489e-09
-0.0055000000000000005,-8.2139e-09
-0.005,-7.3046e-09
-0.0045000000000000005,-7.053e-09
-0.004,-6.5235e-09
-0.0035,-5.2698e-09
-0.003,-4.3313e-09
-0.0025,-4.2534e-09
-0.002,-3.1499e-09
-0.0015,-2.4513e-09
-0.001,-1.828e-09
-0.0005,-1.3512e-09
0.0,-4.2030000000000004e-10
0.0005,8.919e-11
0.001,7.797700000000001e-10
0.0015,1.5737e-09
0.002,1.5589e-09
0.0025,2.7451e-09
0.003,3.5459e-09
0.0035,4.016e-09
0.004,4.4208e-09
0.0045000000000000005,4.6146e-09
0.005,5.3957e-09
0.0055000000000000005,6.039e-09
0.006,6.5581e-09
0.006500000000000001,7.1493e-09
0.007,8.1362e-09
0.007500000000000001,8.9564e-09
0.008,9.5073e-09
0.0085,1.00803e-08
0.009000000000000001,1.08648e-08
0.0095,1.14194e-08
0.01,1.2563599999999999e-08
0.0105,1.3175999999999998e-08
0.011000000000000001,1.3696399999999999e-08
0.0115,1.4609799999999999e-08
0.012,1.4882199999999998e-08
0.0125,1.59646e-08
0.013000000000000001,1.59066e-08
0.0135,1.76536e-08
0.014,1.8528e-08
0.0145,1.89504e-08
0.015000000000000001,1.962e-08
0.0155,2.0792e-08
0.016,2.0226999999999996e-08
0.0165,2.09762e-08
0.017,2.1165599999999997e-08
0.0175,2.0804e-08
0.018000000000000002,2.1466599999999998e-08
0.018500000000000003,2.1563199999999997e-08
0.019,2.1977599999999998e-08
0.0195,2.2626799999999997e-08
0.02,2.3196599999999997e-08
0.0205,2.35856e-08
0.021,2.4705999999999996e-08
0.021500000000000002,2.57604e-08
0.022000000000000002,2.6355799999999997e-08
0.022500000000000003,2.8592199999999996e-08
0.023,2.9632599999999996e-08
0.0235,2.9391999999999996e-08
0.024,3.0377399999999996e-08
0.0245,3.10842e-08
0.025,3.16236e-08
0.025500000000000002,3.0568799999999996e-08
0.026000000000000002,3.30564e-08
0.026500000000000003,3.3582599999999995e-08
0.027,3.4007399999999997e-08
0.0275,3.5468e-08
0.028,3.61246e-08
0.0285,3.6845799999999994e-08
0.029,3.7247199999999994e-08
0.029500000000000002,3.77828e-08
0.030000000000000002,3.7574599999999996e-08
0.030500000000000003,3.8214999999999995e-08
0.031,3.83558e-08
0.0315,3.94522e-08
0.032,3.93916e-08
0.0325,4.02178e-08
0.033,4.13766e-08
0.0335,4.1310799999999994e-08
0.034,4.17638e-08
0.0345,4.26322e-08
0.035,4.3565999999999995e-08
0.035500000000000004,4.3498599999999996e-08
0.036000000000000004,4.5974e-08
0.036500000000000005,4.61196e-08
0.037000000000000005,4.7064199999999995e-08
0.0375,4.7930999999999994e-08
0.038,4.72056e-08
0.0385,4.78618e-08
0.039,4.797159999999999e-08
0.0395,4.9589599999999994e-08
0.04,4.965259999999999e-08
0.0405,5.1536199999999997e-08
0.041,5.1653799999999996e-08
0.0415,5.1455999999999994e-08
0.042,5.2077799999999994e-08
0.0425,5.246559999999999e-08
0.043000000000000003,5.32128e-08
0.043500000000000004,5.44082e-08
0.044000000000000004,5.478479999999999e-08
0.044500000000000005,5.527759999999999e-08
0.045000000000000005,5.616459999999999e-08
0.0455,5.8182199999999995e-08
0.046,5.84604e-08
0.0465,5.902839999999999e-08
0.047,5.9132599999999996e-08
0.0475,5.972699999999999e-08
0.048,6.17114e-08
0.0485,6.06318e-08
0.049,6.13394e-08
0.0495,6.02328e-08
0.05,6.23416e-08
