Volts (V),Current (A)
-0.05,-6.737219999999999e-08
-0.0495,-6.796579999999999e-08
-0.049,-6.590439999999999e-08
-0.0485,-6.4299e-08
-0.048,-6.404059999999999e-08
-0.0475,-6.35764e-08
-0.047,-6.24014e-08
-0.0465,-6.27342e-08
-0.046,-6.23248e-08
-0.0455,-6.170199999999999e-08
-0.045000000000000005,-6.20276e-08
-0.044500000000000005,-6.0901e-08
-0.044000000000000004,-6.21152e-08
-0.043500000000000004,-6.017619999999999e-08
-0.043000000000000003,-6.07238e-08
-0.0425,-5.7619599999999994e-08
-0.042,-5.779359999999999e-08
-0.0415,-5.7002199999999994e-08
-0.041,-5.6454799999999994e-08
-0.0405,-5.58464e-08
-0.04,-5.4534599999999997e-08
-0.0395,-5.4408399999999995e-08
-0.039,-5.336959999999999e-08
-0.0385,-5.2740399999999996e-08
-0.038,-5.1805999999999994e-08
-0.0375,-5.162459999999999e-08
-0.037000000000000005,-5.014699999999999e-08
-0.036500000000000005,-4.9290399999999995e-08
-0.036000000000000004,-4.89134e-08
-0.035500000000000004,-4.7627399999999995e-08
-0.035,-4.7035799999999994e-08
-0.0345,-4.5342799999999994e-08
-0.034,-4.5463999999999996e-08
-0.0335,-4.49176e-08
-0.033,-4.462539999999999e-08
-0.0325,-4.3046399999999996e-08
-0.032,-4.2461999999999993e-08
-0.0315,-4.2061599999999995e-08
-0.031,-4.2400599999999995e-08
-0.030500000000000003,-3.86626e-08
-0.030000000000000002,-3.85538e-08
-0.029500000000000002,-3.795759999999999e-08
-0.029,-3.7137e-08
-0.0285,-3.6126999999999997e-08
-0.028,-3.57566e-08
-0.0275,-3.55052e-08
-0.027,-3.4822399999999994e-08
-0.026500000000000003,-3.5811599999999995e-08
-0.026000000000000002,-3.5282199999999995e-08
-0.025500000000000002,-3.42276e-08
-0.025,-3.3515999999999994e-08
-0.0245,-3.27904e-08
-0.024,-3.11314e-08
-0.0235,-3.1105e-08
-0.023,-3.0959799999999996e-08
-0.022500000000000003,-3.03674e-08
-0.022000000000000002,-2.9621799999999998e-08
-0.021500000000000002,-2.9425799999999997e-08
-0.021,-2.7247999999999997e-08
-0.0205,-2.64642e-08
-0.02,-2.5736399999999998e-08
-0.0195,-2.49374e-08
-0.019,-2.4624999999999997e-08
-0.018500000000000003,-2.3831999999999998e-08
-0.018000000000000002,-2.41964e-08
-0.0175,-2.4047999999999998e-08
-0.017,-2.3633199999999998e-08
-0.0165,-2.34292e-08
-0.016,-2.3594799999999996e-08
-0.0155,-2.2350599999999998e-08
-0.015000000000000001,-2.16478e-08
-0.0145,-2.0844399999999996e-08
-0.014,-1.99692e-08
-0.0135,-1.917e-08
-0.013000000000000001,-1.87032e-08
-0.0125,-1.78006e-08
-0.012,-1.7330799999999997e-08
-0.0115,-1.6704e-08
-0.011000000000000001,-1.6135e-08
-0.0105,-1.4661599999999999e-08
-0.01,-1.4197399999999998e-08
-0.0095,-1.3682599999999999e-08
-0.009000000000000001,-1.2515199999999999e-08
-0.0085,-1.1988199999999999e-08
-0.008,-1.1128799999999999e-08
-0.007500000000000001,-1.0624199999999999e-08
-0.007,-1.00456e-08
-0.006500000000000001,-8.8402e-09
-0.006,-8.1666e-09
-0.0055000000000000005,-7.6187e-09
-0.005,-6.968e-09
-0.0045000000000000005,-6.3283e-09
-0.004,-5.8456e-09
-0.0035,-5.1007e-09
-0.003,-4.5055e-09
-0.0025,-3.8325e-09
-0.002,-3.1458e-09
-0.0015,-2.5666e-09
-0.001,-1.8898e-09
-0.0005,-1.395e-09
0.0,-7.509600000000001e-10
0.0005,-1.8924e-10
0.001,6.3479e-10
0.0015,1.1883e-09
0.002,1.8813e-09
0.0025,2.5819e-09
0.003,3.0093e-09
0.0035,3.5129e-09
0.004,4.3551e-09
0.0045000000000000005,5.0318e-09
0.005,5.8623e-09
0.0055000000000000005,6.6357e-09
0.006,7.267e-09
0.006500000000000001,7.8949e-09
0.007,8.5283e-09
0.007500000000000001,8.7783e-09
0.008,9.315699999999999e-09
0.0085,9.9673e-09
0.009000000000000001,1.07799e-08
0.0095,1.14872e-08
0.01,1.2346999999999998e-08
0.0105,1.2784799999999999e-08
0.011000000000000001,1.3109399999999999e-08
0.0115,1.4033999999999998e-08
0.012,1.47756e-08
0.0125,1.5275399999999998e-08
0.013000000000000001,1.5847999999999997e-08
0.0135,1.6607799999999998e-08
0.014,1.71086e-08
0.0145,1.80566e-08
0.015000000000000001,1.8433199999999998e-08
0.0155,1.9716399999999998e-08
0.016,1.9632799999999997e-08
0.0165,2.0148199999999997e-08
0.017,2.07788e-08
0.0175,2.1628999999999998e-08
0.018000000000000002,2.2232799999999997e-08
0.018500000000000003,2.3479599999999997e-08
0.019,2.3566599999999997e-08
0.0195,2.37554e-08
0.02,2.43408e-08
0.0205,2.5515599999999997e-08
0.021,2.59666e-08
0.021500000000000002,2.57648e-08
0.022000000000000002,2.7094799999999998e-08
0.022500000000000003,2.77898e-08
0.023,2.8785399999999998e-08
0.0235,3.1068199999999995e-08
0.024,3.1935399999999996e-08
0.0245,3.2170599999999996e-08
0.025,3.21468e-08
0.025500000000000002,3.23504e-08
0.026000000000000002,3.25784e-08
0.026500000000000003,3.3881799999999994e-08
0.027,3.53902e-08
0.0275,3.647779999999999e-08
0.028,3.69434e-08
0.0285,3.8335799999999996e-08
0.029,3.84652e-08
0.029500000000000002,3.9635799999999994e-08
0.030000000000000002,4.0181399999999996e-08
0.030500000000000003,4.06478e-08
0.031,3.837e-08
0.0315,3.9349199999999995e-08
0.032,3.99254e-08
0.0325,4.0712399999999996e-08
0.033,4.1006799999999994e-08
0.0335,4.1865799999999995e-08
0.034,4.242759999999999e-08
0.0345,4.5508399999999995e-08
0.035,4.57466e-08
0.035500000000000004,4.5748399999999996e-08
0.036000000000000004,4.677559999999999e-08
0.036500000000000005,4.69978e-08
0.037000000000000005,4.75244e-08
0.0375,4.8867599999999996e-08
0.038,4.8743999999999996e-08
0.0385,4.8747399999999995e-08
0.039,4.89408e-08
0.0395,5.0589199999999995e-08
0.04,5.1284e-08
0.0405,5.0573199999999997e-08
0.041,5.1470599999999996e-08
0.0415,5.1716e-08
0.042,5.3173199999999993e-08
0.0425,5.28688e-08
0.043000000000000003,5.34392e-08
0.043500000000000004,5.3709999999999996e-08
0.044000000000000004,5.4052399999999995e-08
0.044500000000000005,5.567739999999999e-08
0.045000000000000005,6.05814e-08
0.0455,6.042459999999999e-08
0.046,6.074399999999999e-08
0.0465,6.06026e-08
0.047,5.9353999999999997e-08
0.0475,6.00252e-08
0.048,6.27212e-08
0.0485,6.25504e-08
0.049,6.203239999999999e-08
0.0495,6.34122e-08
0.05,6.44958e-08
