Volts (V),Current (A)
-0.05,-7.1477e-08
-0.0495,-7.01658e-08
-0.049,-6.77358e-08
-0.0485,-6.56684e-08
-0.048,-6.637779999999999e-08
-0.0475,-6.48536e-08
-0.047,-6.26074e-08
-0.0465,-6.21514e-08
-0.046,-6.1521e-08
-0.0455,-5.96728e-08
-0.045000000000000005,-6.00154e-08
-0.044500000000000005,-5.9294999999999996e-08
-0.044000000000000004,-5.821259999999999e-08
-0.043500000000000004,-5.7755599999999996e-08
-0.043000000000000003,-5.73612e-08
-0.0425,-5.5854799999999995e-08
-0.042,-5.720899999999999e-08
-0.0415,-5.666279999999999e-08
-0.041,-5.557999999999999e-08
-0.0405,-5.4343399999999994e-08
-0.04,-5.4188999999999996e-08
-0.0395,-5.3921e-08
-0.039,-5.3162799999999993e-08
-0.0385,-5.25418e-08
-0.038,-5.207899999999999e-08
-0.0375,-5.185419999999999e-08
-0.037000000000000005,-5.0320199999999994e-08
-0.036500000000000005,-4.936659999999999e-08
-0.036000000000000004,-4.8333399999999995e-08
-0.035500000000000004,-4.8713599999999994e-08
-0.035,-4.78296e-08
-0.0345,-4.717919999999999e-08
-0.034,-4.6657399999999994e-08
-0.0335,-4.6570799999999996e-08
-0.033,-4.62202e-08
-0.0325,-4.5518199999999995e-08
-0.032,-4.5167799999999994e-08
-0.0315,-4.3610799999999995e-08
-0.031,-4.310679999999999e-08
-0.030500000000000003,-4.12996e-08
-0.030000000000000002,-3.92116e-08
-0.029500000000000002,-4.00488e-08
-0.029,-4.06438e-08
-0.0285,-4.0338999999999995e-08
-0.028,-3.8425999999999996e-08
-0.0275,-3.76942e-08
-0.027,-3.6530199999999994e-08
-0.026500000000000003,-3.5507599999999994e-08
-0.026000000000000002,-3.5709e-08
-0.025500000000000002,-3.5167399999999995e-08
-0.025,-3.4356999999999995e-08
-0.0245,-3.34348e-08
-0.024,-3.3165799999999996e-08
-0.0235,-3.2366e-08
-0.023,-3.1748399999999996e-08
-0.022500000000000003,-3.0992199999999995e-08
-0.022000000000000002,-3.0621399999999995e-08
-0.021500000000000002,-3.0112199999999996e-08
-0.021,-2.9440399999999996e-08
-0.0205,-2.7737199999999996e-08
-0.02,-2.6567e-08
-0.0195,-2.5856999999999998e-08
-0.019,-2.4893599999999996e-08
-0.018500000000000003,-2.5010799999999997e-08
-0.018000000000000002,-2.4581999999999998e-08
-0.0175,-2.4323e-08
-0.017,-2.3684199999999996e-08
-0.0165,-2.30628e-08
-0.016,-2.2120599999999998e-08
-0.0155,-2.1461999999999997e-08
-0.015000000000000001,-2.05598e-08
-0.0145,-1.9923399999999998e-08
-0.014,-1.9698e-08
-0.0135,-1.83828e-08
-0.013000000000000001,-1.7490999999999998e-08
-0.0125,-1.74274e-08
-0.012,-1.66116e-08
-0.0115,-1.58358e-08
-0.011000000000000001,-1.51222e-08
-0.0105,-1.44844e-08
-0.01,-1.3695599999999999e-08
-0.0095,-1.3435e-08
-0.009000000000000001,-1.30738e-08
-0.0085,-1.2084199999999998e-08
-0.008,-1.1208399999999999e-08
-0.007500000000000001,-1.07628e-08
-0.007,-9.856599999999998e-09
-0.006500000000000001,-9.2752e-09
-0.006,-8.4501e-09
-0.0055000000000000005,-8.0663e-09
-0.005,-7.436e-09
-0.0045000000000000005,-6.8122e-09
-0.004,-6.0375e-09
-0.0035,-5.4253e-09
-0.003,-4.7226e-09
-0.0025,-4.1166e-09
-0.002,-3.5075e-09
-0.0015,-2.8272e-09
-0.001,-2.1964e-09
-0.0005,-1.3923e-09
0.0,-7.467300000000001e-10
0.0005,-3.799e-11
0.001,5.0586e-10
0.0015,1.1500200000000001e-09
0.002,1.893e-09
0.0025,2.4808e-09
0.003,3.1226e-09
0.0035,3.8187e-09
0.004,4.2995e-09
0.0045000000000000005,5.0588e-09
0.005,5.6328e-09
0.0055000000000000005,6.4606e-09
0.006,6.8454e-09
0.006500000000000001,7.5207e-09
0.007,8.1759e-09
0.007500000000000001,9.0294e-09
0.008,9.6448e-09
0.0085,1.06112e-08
0.009000000000000001,1.1307199999999999e-08
0.0095,1.2725399999999998e-08
0.01,1.3241999999999999e-08
0.0105,1.4181199999999999e-08
0.011000000000000001,1.49382e-08
0.0115,1.5485999999999997e-08
0.012,1.61514e-08
0.0125,1.7291999999999997e-08
0.013000000000000001,1.79272e-08
0.0135,1.8365399999999998e-08
0.014,1.87672e-08
0.0145,2.0232599999999998e-08
0.015000000000000001,2.0089999999999997e-08
0.0155,2.02938e-08
0.016,2.05492e-08
0.0165,2.1383799999999997e-08
0.017,2.32214e-08
0.0175,2.4204799999999996e-08
0.018000000000000002,2.52004e-08
0.018500000000000003,2.5140599999999998e-08
0.019,2.6610599999999997e-08
0.0195,2.7116799999999996e-08
0.02,2.7457e-08
0.0205,2.8457999999999996e-08
0.021,2.8723599999999998e-08
0.021500000000000002,2.9545399999999996e-08
0.022000000000000002,2.98052e-08
0.022500000000000003,3.11118e-08
0.023,3.2162399999999996e-08
0.0235,3.2200799999999994e-08
0.024,3.3413199999999994e-08
0.0245,3.3694799999999994e-08
0.025,3.5266e-08
0.025500000000000002,3.58742e-08
0.026000000000000002,3.66338e-08
0.026500000000000003,3.70714e-08
0.027,3.8394799999999996e-08
0.0275,3.9819599999999993e-08
0.028,4.0329599999999996e-08
0.0285,4.021939999999999e-08
0.029,4.0532599999999995e-08
0.029500000000000002,4.20186e-08
0.030000000000000002,4.2259599999999994e-08
0.030500000000000003,4.2344799999999995e-08
0.031,4.375099999999999e-08
0.0315,4.5437e-08
0.032,4.5462999999999995e-08
0.0325,4.5786199999999995e-08
0.033,4.6614799999999993e-08
0.0335,4.73566e-08
0.034,4.825159999999999e-08
0.0345,4.8995599999999996e-08
0.035,4.9014199999999996e-08
0.035500000000000004,4.7850599999999994e-08
0.036000000000000004,4.7017e-08
0.036500000000000005,4.6716799999999997e-08
0.037000000000000005,4.7848799999999996e-08
0.0375,4.884599999999999e-08
0.038,4.8910399999999994e-08
0.0385,4.9713599999999996e-08
0.039,5.1111999999999995e-08
0.0395,5.1456999999999995e-08
0.04,5.2929599999999996e-08
0.0405,5.3439799999999997e-08
0.041,5.1945799999999997e-08
0.0415,5.35556e-08
0.042,5.3989999999999996e-08
0.0425,5.476399999999999e-08
0.043000000000000003,5.605359999999999e-08
0.043500000000000004,5.60996e-08
0.044000000000000004,5.738459999999999e-08
0.044500000000000005,5.7063999999999994e-08
0.045000000000000005,5.695799999999999e-08
0.0455,5.8933599999999995e-08
0.046,5.8879399999999996e-08
0.0465,5.9116199999999996e-08
0.047,6.04582e-08
0.0475,6.20472e-08
0.048,6.19248e-08
0.0485,6.29006e-08
0.049,6.378879999999999e-08
0.0495,6.595319999999999e-08
0.05,6.933839999999999e-08
